    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD
  POGhosts,             MMD,   16,   366.8000,   626.0101,       70.0,     4700.0,       62.6,    36680.0,     52251200.0,   626.0101
  POGhosts,             MMD,   17,   659.2000,   907.9221,       40.0,     4560.0,       90.8,    65920.0,    125062400.0,   907.9221
  POGhosts,             MMD,   18,   564.6000,   672.7517,       70.0,     3620.0,       67.3,    56460.0,     76684200.0,   672.7517
  POGhosts,             MMD,   19,   736.7000,   814.8583,       70.0,     7140.0,       81.5,    73670.0,    120008100.0,   814.8583
  COGhosts,      ONE_MODULE,    0,  1326.6000,  1533.4409,      170.0,     6530.0,      153.3,   132660.0,    408779400.0,  1533.4409
  COGhosts,      ONE_MODULE,    1,  1045.9000,  1180.3433,      100.0,     4940.0,      118.0,   104590.0,    247318500.0,  1180.3433
  COGhosts,      ONE_MODULE,    2,   406.7000,   881.8198,       40.0,     5470.0,       88.2,    40670.0,     93523500.0,   881.8198
  COGhosts,      ONE_MODULE,    3,   374.1000,   690.8626,       70.0,     5620.0,       69.1,    37410.0,     61246900.0,   690.8626
  COGhosts,      ONE_MODULE,    4,   971.1000,  1003.5049,      140.0,     5100.0,      100.4,    97110.0,    193998700.0,  1003.5049
  COGhosts,      ONE_MODULE,    5,   212.3000,   352.1244,       70.0,     3650.0,       35.2,    21230.0,     16782300.0,   352.1244
  COGhosts,      ONE_MODULE,    6,  1723.8000,  1935.1072,      140.0,     8780.0,      193.5,   172380.0,    667868000.0,  1935.1072
  COGhosts,      ONE_MODULE,    7,   192.0000,   493.8511,       70.0,     5070.0,       49.4,    19200.0,     27831400.0,   493.8511
  COGhosts,      ONE_MODULE,    8,  1531.6000,  1245.1974,       70.0,     7970.0,      124.5,   153160.0,    388081000.0,  1245.1974
  COGhosts,      ONE_MODULE,    9,   188.3000,   275.0502,       40.0,     2780.0,       27.5,    18830.0,     11035300.0,   275.0502
  COGhosts,      ONE_MODULE,   10,   316.5000,   461.8439,       80.0,     4680.0,       46.2,    31650.0,     31133900.0,   461.8439
  COGhosts,      ONE_MODULE,   11,  1559.7000,  1860.6062,      130.0,     9350.0,      186.1,   155970.0,    585990100.0,  1860.6062
  COGhosts,      ONE_MODULE,   12,   316.8000,   228.3886,       90.0,     2260.0,       22.8,    31680.0,     15200200.0,   228.3886
  COGhosts,      ONE_MODULE,   13,   296.7000,   623.8866,       40.0,     4740.0,       62.4,    29670.0,     47337300.0,   623.8866
  COGhosts,      ONE_MODULE,   14,   326.5000,   426.1748,       70.0,     3440.0,       42.6,    32650.0,     28641100.0,   426.1748
  COGhosts,      ONE_MODULE,   15,  1754.2000,  1558.5102,      140.0,     6540.0,      155.9,   175420.0,    548188200.0,  1558.5102
  COGhosts,      ONE_MODULE,   16,  3051.9000,  2688.2861,      180.0,    10680.0,      268.8,   305190.0,   1646870700.0,  2688.2861
  COGhosts,      ONE_MODULE,   17,   270.5000,   621.1872,       40.0,     6350.0,       62.1,    27050.0,     45518500.0,   621.1872
  COGhosts,      ONE_MODULE,   18,   811.6000,  1158.1889,       70.0,     6060.0,      115.8,    81160.0,    198668200.0,  1158.1889
  COGhosts,      ONE_MODULE,   19,   344.8000,   493.5308,       30.0,     3120.0,       49.4,    34480.0,     36002400.0,   493.5308
  COGhosts,     TWO_MODULES,    0,  1894.2000,  2144.3886,      100.0,     9790.0,      214.4,   189420.0,    814041200.0,  2144.3886
  COGhosts,     TWO_MODULES,    1,   774.9000,  1215.6733,       70.0,     7590.0,      121.6,    77490.0,    206355300.0,  1215.6733
  COGhosts,     TWO_MODULES,    2,   134.5000,   151.0594,       40.0,     1370.0,       15.1,    13450.0,      4068100.0,   151.0594
  COGhosts,     TWO_MODULES,    3,  1002.1000,  1478.5464,       70.0,     7460.0,      147.9,   100210.0,    316844300.0,  1478.5464
  COGhosts,     TWO_MODULES,    4,   214.6000,   362.6931,       70.0,     3080.0,       36.3,    21460.0,     17628400.0,   362.6931
  COGhosts,     TWO_MODULES,    5,  1802.5000,  1791.8741,       70.0,     7500.0,      179.2,   180250.0,    642771100.0,  1791.8741
  COGhosts,     TWO_MODULES,    6,   187.2000,   336.4553,       30.0,     3420.0,       33.6,    18720.0,     14711400.0,   336.4553
  COGhosts,     TWO_MODULES,    7,  2880.6000,  2276.7001,      190.0,     9150.0,      227.7,   288060.0,   1342938600.0,  2276.7001
  COGhosts,     TWO_MODULES,    8,   218.2000,   365.0554,       40.0,     3680.0,       36.5,    21820.0,     17954400.0,   365.0554
  COGhosts,     TWO_MODULES,    9,   389.3000,   624.9836,       70.0,     4800.0,       62.5,    38930.0,     53825300.0,   624.9836
  COGhosts,     TWO_MODULES,   10,   633.9000,   666.7362,       70.0,     3840.0,       66.7,    63390.0,     84192100.0,   666.7362
  COGhosts,     TWO_MODULES,   11,  1723.3000,  1694.5766,      190.0,     7600.0,      169.5,   172330.0,    581263700.0,  1694.5766
  COGhosts,     TWO_MODULES,   12,   373.5000,   996.9351,       30.0,     7170.0,       99.7,    37350.0,    112344300.0,   996.9351
  COGhosts,     TWO_MODULES,   13,   424.6000,   435.7170,      140.0,     3550.0,       43.6,    42460.0,     36823600.0,   435.7170
  COGhosts,     TWO_MODULES,   14,   649.8000,  1221.3910,      100.0,     7190.0,      122.1,    64980.0,    189911800.0,  1221.3910
  COGhosts,     TWO_MODULES,   15,   726.8000,  1139.4114,       70.0,     6730.0,      113.9,    72680.0,    181351400.0,  1139.4114
  COGhosts,     TWO_MODULES,   16,   572.0000,   807.2275,       80.0,     3670.0,       80.7,    57200.0,     97228400.0,   807.2275
  COGhosts,     TWO_MODULES,   17,  1191.8000,  1332.1619,       70.0,     5800.0,      133.2,   119180.0,    317729600.0,  1332.1619
  COGhosts,     TWO_MODULES,   18,   416.5000,   632.6414,       80.0,     3760.0,       63.3,    41650.0,     56970500.0,   632.6414
  COGhosts,     TWO_MODULES,   19,   217.0000,   276.0526,       80.0,     2830.0,       27.6,    21700.0,     12253200.0,   276.0526
  COGhosts,   THREE_MODULES,    0,   466.0000,   575.8069,       70.0,     3420.0,       57.6,    46600.0,     54539400.0,   575.8069
  COGhosts,   THREE_MODULES,    1,  1517.6000,  1737.7177,      150.0,     8440.0,      173.8,   151760.0,    529257600.0,  1737.7177
  COGhosts,   THREE_MODULES,    2,  1846.7000,  1839.6849,      190.0,     8150.0,      184.0,   184670.0,    676089700.0,  1839.6849
  COGhosts,   THREE_MODULES,    3,   742.3000,   821.4017,       50.0,     5200.0,       82.1,    74230.0,    121896300.0,   821.4017
  COGhosts,   THREE_MODULES,    4,   679.7000,  1344.0955,       70.0,     9010.0,      134.4,    67970.0,    225051900.0,  1344.0955
  COGhosts,   THREE_MODULES,    5,   443.4000,   889.1060,      100.0,     8670.0,       88.9,    44340.0,     97920800.0,   889.1060
  COGhosts,   THREE_MODULES,    6,   510.1000,   820.6692,       70.0,     4910.0,       82.1,    51010.0,     92696500.0,   820.6692
  COGhosts,   THREE_MODULES,    7,   500.3000,   923.7598,       70.0,     6870.0,       92.4,    50030.0,    109509900.0,   923.7598
  COGhosts,   THREE_MODULES,    8,  1300.8000,   579.0984,      150.0,     2880.0,       57.9,   130080.0,    202408200.0,   579.0984
  COGhosts,   THREE_MODULES,    9,  2138.8000,  2225.8569,      180.0,     9500.0,      222.6,   213880.0,    947936000.0,  2225.8569
  COGhosts,   THREE_MODULES,   10,   305.5000,   511.4040,       70.0,     4810.0,       51.1,    30550.0,     35224900.0,   511.4040
  COGhosts,   THREE_MODULES,   11,   820.0000,   804.9744,      120.0,     3610.0,       80.5,    82000.0,    131390400.0,   804.9744
  COGhosts,   THREE_MODULES,   12,   409.9000,   811.3942,       70.0,     6040.0,       81.1,    40990.0,     81979500.0,   811.3942
  COGhosts,   THREE_MODULES,   13,   541.9000,   935.2941,       80.0,     6200.0,       93.5,    54190.0,    115968300.0,   935.2941
  COGhosts,   THREE_MODULES,   14,   452.1000,   402.4930,      160.0,     2210.0,       40.2,    45210.0,     36477500.0,   402.4930
  COGhosts,   THREE_MODULES,   15,  2506.3000,  2498.3306,      170.0,     9050.0,      249.8,   250630.0,   1246077900.0,  2498.3306
  COGhosts,   THREE_MODULES,   16,   326.5000,   528.4327,       70.0,     3750.0,       52.8,    32650.0,     38305100.0,   528.4327
  COGhosts,   THREE_MODULES,   17,   202.6000,   331.2072,       70.0,     3420.0,       33.1,    20260.0,     14964800.0,   331.2072
