    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD
  COGhosts,      ONE_MODULE,    8,  1396.8000,  1395.9276,       70.0,     7830.0,      139.6,   139680.0,    388017800.0,  1395.9276
  COGhosts,      ONE_MODULE,    9,   314.1000,   470.8044,       40.0,     3030.0,       47.1,    31410.0,     31809900.0,   470.8044
  COGhosts,      ONE_MODULE,   10,   183.0000,   334.6172,       70.0,     3460.0,       33.5,    18300.0,     14433800.0,   334.6172
  COGhosts,      ONE_MODULE,   11,  2182.9000,  2287.5086,      140.0,    10350.0,      228.8,   218290.0,    994542100.0,  2287.5086
  COGhosts,      ONE_MODULE,   12,   319.6000,   729.4954,       70.0,     6210.0,       72.9,    31960.0,     62898600.0,   729.4954
  COGhosts,      ONE_MODULE,   13,   367.9000,   321.7449,      160.0,     3370.0,       32.2,    36790.0,     23783500.0,   321.7449
  COGhosts,      ONE_MODULE,   14,   387.3000,   533.8309,       70.0,     4570.0,       53.4,    38730.0,     43212700.0,   533.8309
  COGhosts,      ONE_MODULE,   15,  1906.1000,  1462.3621,       70.0,     7210.0,      146.2,   190610.0,    575033500.0,  1462.3621
  COGhosts,      ONE_MODULE,   16,  2647.7000,  2450.5661,      120.0,     9890.0,      245.1,   264770.0,   1295553700.0,  2450.5661
  COGhosts,      ONE_MODULE,   17,   291.9000,   378.5024,       70.0,     3600.0,       37.9,    29190.0,     22703700.0,   378.5024
  COGhosts,      ONE_MODULE,   18,  1514.6000,  2244.4713,      100.0,    12230.0,      224.4,   151460.0,    728128800.0,  2244.4713
  COGhosts,      ONE_MODULE,   19,   558.6000,  1241.6900,       70.0,     8460.0,      124.2,    55860.0,    183841000.0,  1241.6900
  COGhosts,     TWO_MODULES,    0,  2238.2000,  2282.5957,       70.0,    12380.0,      228.3,   223820.0,   1016768000.0,  2282.5957
  COGhosts,     TWO_MODULES,    1,   816.2000,  1137.6476,       70.0,     6990.0,      113.8,    81620.0,    194748200.0,  1137.6476
  COGhosts,     TWO_MODULES,    2,   156.4000,   204.5913,       30.0,     1510.0,       20.5,    15640.0,      6590000.0,   204.5913
  COGhosts,     TWO_MODULES,    3,  1499.6000,  1389.1178,       80.0,     5680.0,      138.9,   149960.0,    415915200.0,  1389.1178
  COGhosts,     TWO_MODULES,    4,   221.8000,   195.6826,       80.0,     1460.0,       19.6,    22180.0,      8710400.0,   195.6826
  COGhosts,     TWO_MODULES,    5,  2523.2000,  2342.4091,      140.0,    11840.0,      234.2,   252320.0,   1179855000.0,  2342.4091
  COGhosts,     TWO_MODULES,    6,   302.0000,   575.8981,       50.0,     3650.0,       57.6,    30200.0,     41954600.0,   575.8981
  COGhosts,     TWO_MODULES,    7,  2855.9000,  2130.4498,      300.0,     8680.0,      213.0,   285590.0,   1264959300.0,  2130.4498
  COGhosts,     TWO_MODULES,    8,   170.5000,   167.4429,       30.0,     1320.0,       16.7,    17050.0,      5682700.0,   167.4429
  COGhosts,     TWO_MODULES,    9,   329.3000,   647.4663,       40.0,     4870.0,       64.7,    32930.0,     52345900.0,   647.4663
  COGhosts,     TWO_MODULES,   10,   702.0000,   700.8509,      120.0,     4140.0,       70.1,    70200.0,     97908400.0,   700.8509
  COGhosts,     TWO_MODULES,   11,  2072.2000,  1686.9820,      280.0,     6630.0,      168.7,   207220.0,    711146200.0,  1686.9820
  COGhosts,     TWO_MODULES,   12,   671.3000,  1168.9524,       70.0,     6530.0,      116.9,    67130.0,    180342900.0,  1168.9524
  COGhosts,     TWO_MODULES,   13,   535.2000,   834.8513,       80.0,     6440.0,       83.5,    53520.0,     97644600.0,   834.8513
  COGhosts,     TWO_MODULES,   14,   569.5000,   861.4029,      100.0,     4590.0,       86.1,    56950.0,    105892500.0,   861.4029
  COGhosts,     TWO_MODULES,   15,   759.6000,  1212.8278,      120.0,     6760.0,      121.3,    75960.0,    203323400.0,  1212.8278
  COGhosts,     TWO_MODULES,   16,   507.9000,   745.8631,       40.0,     3740.0,       74.6,    50790.0,     80871100.0,   745.8631
  COGhosts,     TWO_MODULES,   17,  1268.2000,  1306.4482,       90.0,     7700.0,      130.6,   126820.0,    329807000.0,  1306.4482
  COGhosts,     TWO_MODULES,   18,   575.8000,   689.1250,       70.0,     3560.0,       68.9,    57580.0,     80169000.0,   689.1250
  COGhosts,     TWO_MODULES,   19,   204.6000,   294.2184,       40.0,     2610.0,       29.4,    20460.0,     12756000.0,   294.2184
  COGhosts,   THREE_MODULES,    0,   664.8000,   884.9750,       70.0,     4080.0,       88.5,    66480.0,    121730800.0,   884.9750
  COGhosts,   THREE_MODULES,    1,  1461.9000,  1732.1923,      200.0,    12380.0,      173.2,   146190.0,    510763700.0,  1732.1923
  COGhosts,   THREE_MODULES,    2,  2320.8000,  2081.2359,      190.0,    10840.0,      208.1,   232080.0,    967434000.0,  2081.2359
  COGhosts,   THREE_MODULES,    3,   501.0000,   627.6338,       40.0,     3380.0,       62.8,    50100.0,     64098600.0,   627.6338
  COGhosts,   THREE_MODULES,    4,   760.2000,  1575.9063,       70.0,     8210.0,      157.6,    76020.0,    303655000.0,  1575.9063
  COGhosts,   THREE_MODULES,    5,   689.4000,  1180.2677,       60.0,     8480.0,      118.0,    68940.0,    185437400.0,  1180.2677
  COGhosts,   THREE_MODULES,    6,   576.1000,   908.8142,       70.0,     5830.0,       90.9,    57610.0,    114957500.0,   908.8142
  COGhosts,   THREE_MODULES,    7,   523.0000,  1118.5972,       70.0,     7310.0,      111.9,    52300.0,    151227600.0,  1118.5972
  COGhosts,   THREE_MODULES,    8,  1258.7000,   797.8616,      140.0,     3940.0,       79.8,   125870.0,    221454300.0,   797.8616
  COGhosts,   THREE_MODULES,    9,  2513.5000,  1929.6691,      200.0,     8160.0,      193.0,   251350.0,   1000406900.0,  1929.6691
  COGhosts,   THREE_MODULES,   10,   275.9000,   577.3574,       70.0,     4760.0,       57.7,    27590.0,     40612900.0,   577.3574
  COGhosts,   THREE_MODULES,   11,   901.6000,  1068.4036,       70.0,     4020.0,      106.8,    90160.0,    194295400.0,  1068.4036
  COGhosts,   THREE_MODULES,   12,   464.9000,   754.3631,       70.0,     5560.0,       75.4,    46490.0,     77950500.0,   754.3631
  COGhosts,   THREE_MODULES,   13,   550.3000,  1301.1149,       70.0,     7960.0,      130.1,    55030.0,    197880100.0,  1301.1149
  COGhosts,   THREE_MODULES,   14,   509.4000,   521.7682,      200.0,     3650.0,       52.2,    50940.0,     52900800.0,   521.7682
  COGhosts,   THREE_MODULES,   15,  4797.2000,  3208.4963,      170.0,    13760.0,      320.8,   479720.0,   3320463200.0,  3208.4963
  COGhosts,   THREE_MODULES,   16,   393.3000,   716.8746,       70.0,     4930.0,       71.7,    39330.0,     66345500.0,   716.8746
  COGhosts,   THREE_MODULES,   17,   356.4000,   645.9673,       70.0,     4810.0,       64.6,    35640.0,     54012200.0,   645.9673
  COGhosts,   THREE_MODULES,   18,   531.2000,   811.0279,       80.0,     5810.0,       81.1,    53120.0,     93336200.0,   811.0279
  COGhosts,   THREE_MODULES,   19,   652.8000,  1160.2526,       70.0,     5460.0,      116.0,    65280.0,    175887200.0,  1160.2526
  COGhosts, THREE_MULTITASK,    0,  2583.6000,  2054.7351,      240.0,     9160.0,      205.5,   258360.0,   1085470600.0,  2054.7351
  COGhosts, THREE_MULTITASK,    1,  1817.8000,  1574.8282,      140.0,     6470.0,      157.5,   181780.0,    575968000.0,  1574.8282
  COGhosts, THREE_MULTITASK,    2,  1815.0000,  2024.2901,       80.0,     9100.0,      202.4,   181500.0,    735099800.0,  2024.2901
  COGhosts, THREE_MULTITASK,    3,  2852.4000,  2436.5517,      280.0,    12070.0,      243.7,   285240.0,   1401360200.0,  2436.5517
  COGhosts, THREE_MULTITASK,    4,  2977.7000,  2617.4966,      130.0,    13600.0,      261.7,   297770.0,   1564947300.0,  2617.4966
  COGhosts, THREE_MULTITASK,    5,  1339.6000,  1624.4134,      100.0,     7480.0,      162.4,   133960.0,    440686000.0,  1624.4134
  COGhosts, THREE_MULTITASK,    6,  1227.7000,  2069.7449,       70.0,    11840.0,      207.0,   122770.0,    574825300.0,  2069.7449
